recording_time_s,mission_time_s,horizontal_saturated,altitude_saturated,attitude_saturated,mixer_saturated,any_saturated
2.8094282150268555,0.049454689025878906,0,0,0,0,0
2.819973945617676,0.06000041961669922,0,0,0,0,0
2.8297176361083984,0.06974411010742188,0,0,0,0,0
2.8396952152252197,0.07972168922424316,0,0,0,0,0
2.8498265743255615,0.08985304832458496,0,0,0,0,0
2.8595876693725586,0.09961414337158203,0,0,0,0,0
2.8696024417877197,0.10962891578674316,0,0,0,0,0
2.879887104034424,0.11991357803344727,0,0,0,0,0
2.8894810676574707,0.12950754165649414,0,0,0,0,0
2.899508237838745,0.13953471183776855,0,0,0,0,0
2.909827470779419,0.14985394477844238,0,0,0,0,0
2.919585943222046,0.15961241722106934,0,0,0,0,0
2.9295616149902344,0.1695880889892578,0,0,0,0,0
2.9394800662994385,0.17950654029846191,0,0,0,0,0
2.9498209953308105,0.18984746932983398,0,0,0,0,0
2.9597508907318115,0.19977736473083496,0,0,0,0,0
2.9696130752563477,0.2096395492553711,0,0,0,0,0
2.9796626567840576,0.21968913078308105,0,0,0,0,0
2.989617347717285,0.2296438217163086,0,0,0,0,0
2.9995622634887695,0.23958873748779297,0,0,0,0,0
3.009465456008911,0.24949193000793457,0,0,0,0,0
3.0197129249572754,0.25973939895629883,0,0,0,0,0
3.0295937061309814,0.2696201801300049,0,0,0,0,0
3.039487600326538,0.2795140743255615,0,0,0,0,0
3.049410104751587,0.28943657875061035,0,0,0,0,0
3.0594263076782227,0.2994527816772461,0,0,0,0,0
3.069546699523926,0.3095731735229492,0,0,0,0,0
3.0796144008636475,0.3196408748626709,0,0,0,0,0
3.089510679244995,0.32953715324401855,0,0,0,0,0
3.099483013153076,0.3395094871520996,0,0,0,0,0
3.109646797180176,0.3496732711791992,0,0,0,0,0
3.119682550430298,0.3597090244293213,0,0,0,0,0
3.129495859146118,0.3695223331451416,0,0,0,0,0
3.1398823261260986,0.37990880012512207,0,0,0,0,0
3.149777412414551,0.3898038864135742,0,0,0,0,0
3.159634828567505,0.3996613025665283,0,0,0,0,0
3.1695306301116943,0.4095571041107178,0,0,0,0,0
3.1797635555267334,0.41979002952575684,0,0,0,0,0
3.1894497871398926,0.429476261138916,0,0,0,0,0
3.199490547180176,0.4395170211791992,0,0,0,0,0
3.2095839977264404,0.44961047172546387,0,0,0,0,0
3.2194595336914062,0.4594860076904297,0,0,0,0,0
3.22945499420166,0.4694814682006836,0,0,0,0,0
3.239464044570923,0.4794905185699463,0,0,0,0,0
3.249481678009033,0.48950815200805664,0,0,0,0,0
3.2594754695892334,0.49950194358825684,0,0,0,0,0
3.269519329071045,0.5095458030700684,0,0,0,0,0
3.279827833175659,0.5198543071746826,0,0,0,0,0
3.2894113063812256,0.529437780380249,0,0,0,0,0
3.299480438232422,0.5395069122314453,0,0,0,0,0
3.309603214263916,0.5496296882629395,0,0,0,0,0
3.3196017742156982,0.5596282482147217,0,0,0,0,0
3.329500913619995,0.5695273876190186,0,0,0,0,0
3.339562177658081,0.5795886516571045,0,0,0,0,0
3.3495092391967773,0.5895357131958008,0,0,0,0,0
3.359511375427246,0.5995378494262695,0,0,0,0,0
3.3693642616271973,0.6093907356262207,0,0,0,0,0
3.3797569274902344,0.6197834014892578,0,0,0,0,0
3.389497756958008,0.6295242309570312,0,0,0,0,0
3.3996851444244385,0.6397116184234619,0,0,0,0,0
3.4095230102539062,0.6495494842529297,0,0,0,0,0
