time,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,tracking_error,actual_speed,reference_speed,clearance,segment_index
0.004050349991302937,0.0,0.0,1.4689150910679256,6.79603064505767e-08,1.4659410812069266e-07,1.5000000058339331,0.03108491476642745,0.04067761754943597,2.4197788625207854e-05,1.85,0
0.009072446991922334,0.0,0.0,1.46911715943821,6.79603064505767e-08,1.4659410812069266e-07,1.5000000058339331,0.03088284639614584,0.04041367405687325,2.4197788625207854e-05,1.85,0
0.01421956199919805,1.214072948921576e-11,2.6182599901236918e-11,1.4693179162766132,6.79603064505767e-08,1.4659410812069266e-07,1.5000000058339331,0.030682089557745196,0.040151367680654394,2.4197788625207854e-05,1.8499999999878594,0
0.018818030002876185,7.169115656482411e-11,1.5460857393160446e-10,1.469517370506891,6.79603064505767e-08,1.4659410812069266e-07,1.5000000058339331,0.030482635327469556,0.0398908460555366,2.4197788625207854e-05,1.849999999928309,0
0.02367860199592542,2.4688567069631765e-10,5.324316607701379e-10,1.4697155319205015,5.403264667952497e-07,1.1652626117812146e-06,1.5000000463667877,0.030284514473499502,0.03963228272222342,9.621330846895209e-05,1.8499999997531145,0
0.0283847649989184,6.595923326880624e-10,1.4224489867153001e-09,1.4699124093787248,5.403264667952497e-07,1.1652626117812146e-06,1.5000000463667877,0.030087637015412446,0.03937549164514081,9.621330846895209e-05,1.8499999993404077,0
0.03390417399350554,1.504017404718174e-09,3.2434186913585512e-09,1.4701080109008882,5.403264667952497e-07,1.1652626117812146e-06,1.5000000463667877,0.029892035493341976,0.03912030443475138,9.621330846895209e-05,1.8499999984959827,0
0.03818612400209531,3.06363650307098e-09,6.606555042264887e-09,1.4703023452164214,5.403264667952497e-07,1.1652626117812146e-06,1.5000000463667877,0.02969770117782861,0.03886686311372782,9.621330846895209e-05,1.8499999969363636,0
0.04299636499490589,5.725319095763884e-09,1.2345973083945839e-08,1.4704954219082564,1.8172031815903927e-06,3.918114914210814e-06,1.5000001558828802,0.02950473428875099,0.038615338387732026,0.00021557096557584644,1.849999994274681,0
0.04801544500514865,1.0002634098996439e-08,2.15688905135874e-08,1.4706872496493597,1.8172031815903927e-06,3.918114914210814e-06,1.5000001558828802,0.029312906548211948,0.03836554827455294,0.00021557096557584644,1.849999989997366,0
