recording_time_s,mission_time_s,horizontal_saturated,altitude_saturated,attitude_saturated,mixer_saturated,any_saturated
0.008502960205078125,,0,0,0,0,0
0.0185089111328125,,0,0,0,0,0
0.028644561767578125,,0,0,0,0,0
0.03849434852600098,,0,0,0,0,0
0.04865694046020508,,0,0,0,0,0
0.0586395263671875,,0,0,0,0,0
0.06858539581298828,,0,0,0,0,0
0.07856464385986328,,0,0,0,0,0
0.08873891830444336,,0,0,0,0,0
0.0988922119140625,,0,0,0,0,0
0.10888457298278809,,0,0,0,0,0
0.11896157264709473,,0,0,0,0,0
0.1289212703704834,,0,0,0,0,0
0.13886499404907227,,0,0,0,0,0
0.149092435836792,,0,0,0,0,0
0.15875530242919922,,0,0,0,0,0
0.16881632804870605,,0,0,0,0,0
0.1786949634552002,,0,0,0,0,0
0.188995361328125,,0,0,0,0,0
0.19889235496520996,,0,0,0,0,0
0.20880603790283203,,0,0,0,0,0
0.21897149085998535,,0,0,0,0,0
0.22900056838989258,,0,0,0,0,0
0.23905038833618164,,0,0,0,0,0
0.24891400337219238,,0,0,0,0,0
0.25867772102355957,,0,0,0,0,0
0.2688944339752197,,0,0,0,0,0
0.27886104583740234,,0,0,0,0,0
0.2889721393585205,,0,0,0,0,0
0.29886531829833984,,0,0,0,0,0
0.30877184867858887,,0,0,0,0,0
0.31891489028930664,,0,0,0,0,0
0.3288552761077881,,0,0,0,0,0
0.33890438079833984,,0,0,0,0,0
0.34870433807373047,,0,0,0,0,0
0.35863232612609863,,0,0,0,0,0
0.3687863349914551,,0,0,0,0,0
0.37880873680114746,,0,0,0,0,0
0.38875865936279297,,0,0,0,0,0
0.39893651008605957,,0,0,0,0,0
0.408719539642334,,0,0,0,0,0
0.41892409324645996,,0,0,0,0,0
0.4288020133972168,,0,0,0,0,0
0.4388468265533447,,0,0,0,0,0
0.4487919807434082,,0,0,0,0,0
0.458789587020874,,0,0,0,0,0
0.4688131809234619,,0,0,0,0,0
