recording_time_s,mission_time_s,horizontal_saturated,altitude_saturated,attitude_saturated,mixer_saturated,any_saturated
0.00594639778137207,,0,0,0,0,0
0.01571178436279297,,0,0,0,0,0
0.02572488784790039,,0,0,0,0,0
0.03607773780822754,,0,0,0,0,0
0.04620075225830078,,0,0,0,0,0
0.05663585662841797,,0,0,0,0,0
0.06609225273132324,,0,0,0,0,0
0.07613372802734375,,0,0,0,0,0
0.08630800247192383,,0,0,0,0,0
0.09632253646850586,,0,0,0,0,0
0.10649371147155762,,0,0,0,0,0
0.11638689041137695,,0,0,0,0,0
0.12644577026367188,,0,0,0,0,0
0.13628697395324707,,0,0,0,0,0
0.14661407470703125,,0,0,0,0,0
0.15661025047302246,,0,0,0,0,0
0.16634297370910645,,0,0,0,0,0
0.1758737564086914,,0,0,0,0,0
0.18691229820251465,,0,0,0,0,0
0.19649076461791992,,0,0,0,0,0
0.20678138732910156,,0,0,0,0,0
0.21729230880737305,,0,0,0,0,0
0.22693896293640137,,0,0,0,0,0
0.2365741729736328,,0,0,0,0,0
0.24633479118347168,,0,0,0,0,0
0.2565574645996094,,0,0,0,0,0
0.26624608039855957,,0,0,0,0,0
0.2760910987854004,,0,0,0,0,0
0.286360502243042,,0,0,0,0,0
0.29666805267333984,,0,0,0,0,0
0.3061230182647705,,0,0,0,0,0
0.31592702865600586,,0,0,0,0,0
0.32669544219970703,,0,0,0,0,0
0.3363034725189209,,0,0,0,0,0
0.34685635566711426,,0,0,0,0,0
0.3571016788482666,,0,0,0,0,0
0.36647605895996094,,0,0,0,0,0
0.37616825103759766,,0,0,0,0,0
0.38626575469970703,,0,0,0,0,0
0.39646315574645996,,0,0,0,0,0
0.4065868854522705,,0,0,0,0,0
0.41599225997924805,,0,0,0,0,0
0.4262535572052002,,0,0,0,0,0
0.43661952018737793,,0,0,0,0,0
0.44649624824523926,,0,0,0,0,0
0.4561331272125244,,0,0,0,0,0
0.466052770614624,,0,0,0,0,0
0.47609853744506836,,0,0,0,0,0
0.4862983226776123,,0,0,0,0,0
0.4964637756347656,,0,0,0,0,0
0.5064923763275146,,0,0,0,0,0
0.5159497261047363,,0,0,0,0,0
0.5263903141021729,,0,0,0,0,0
0.5360591411590576,,0,0,0,0,0
0.5472333431243896,,0,0,0,0,0
0.5570545196533203,,0,0,0,0,0
0.5664401054382324,,0,0,0,0,0
0.5758156776428223,,0,0,0,0,0
0.5862367153167725,,0,0,0,0,0
0.5961408615112305,,0,0,0,0,0
0.6078212261199951,,0,0,0,0,0
0.6162283420562744,,0,0,0,0,0
0.6266849040985107,,0,0,0,0,0
0.6365644931793213,,0,0,0,0,0
0.6462664604187012,,0,0,0,0,0
0.6566746234893799,,0,0,0,0,0
0.666041374206543,,0,0,0,0,0
0.6762492656707764,,0,0,0,0,0
0.6859991550445557,,0,0,0,0,0
0.6968493461608887,,0,0,0,0,0
0.7078495025634766,,0,0,0,0,0
0.7178311347961426,,0,0,0,0,0
0.7273421287536621,,0,0,0,0,0
0.7374560832977295,,0,0,0,0,0
0.7470474243164062,,0,0,0,0,0
0.7574605941772461,,0,0,0,0,0
0.766923189163208,,0,0,0,0,0
0.7765069007873535,,0,0,0,0,0
0.7864010334014893,,0,0,0,0,0
0.7976651191711426,,0,0,0,0,0
0.8066129684448242,,0,0,0,0,0
0.8164505958557129,,0,0,0,0,0
0.8262984752655029,,0,0,0,0,0
0.836796760559082,,0,0,0,0,0
0.8480556011199951,,0,0,0,0,0
0.8571810722351074,,0,0,0,0,0
0.8666806221008301,,0,0,0,0,0
0.8758077621459961,,0,0,0,0,0
0.8862566947937012,,0,0,0,0,0
0.8963913917541504,,0,0,0,0,0
0.9061629772186279,,0,0,0,0,0
0.9159867763519287,,0,0,0,0,0
0.9262619018554688,,0,0,0,0,0
0.9362826347351074,,0,0,0,0,0
0.9461891651153564,,0,0,0,0,0
0.9574911594390869,,0,0,0,0,0
0.9665377140045166,,0,0,0,0,0
0.9774892330169678,,0,0,0,0,0
0.9857900142669678,,0,0,0,0,0
0.9964237213134766,,0,0,0,0,0
1.0061402320861816,,0,0,0,0,0
1.0158092975616455,,0,0,0,0,0
1.0258893966674805,,0,0,0,0,0
1.036646842956543,,0,0,0,0,0
1.047067642211914,,0,0,0,0,0
1.0570793151855469,,0,0,0,0,0
1.0661547183990479,,0,0,0,0,0
1.0759267807006836,,0,0,0,0,0
1.086334228515625,,0,0,0,0,0
1.096386194229126,,0,0,0,0,0
1.1065187454223633,,0,0,0,0,0
1.1158020496368408,,0,0,0,0,0
1.1259517669677734,,0,0,0,0,0
1.1363675594329834,,0,0,0,0,0
1.1461279392242432,,0,0,0,0,0
1.1562705039978027,,0,0,0,0,0
1.1660981178283691,,0,0,0,0,0
1.1759321689605713,,0,0,0,0,0
1.1859335899353027,,0,0,0,0,0
1.1959278583526611,,0,0,0,0,0
1.2059285640716553,,0,0,0,0,0
1.2159638404846191,,0,0,0,0,0
1.2257080078125,,0,0,0,0,0
1.2360405921936035,,0,0,0,0,0
1.2458691596984863,,0,0,0,0,0
1.256023645401001,,0,0,0,0,0
1.2659106254577637,,0,0,0,0,0
1.2758066654205322,,0,0,0,0,0
1.286048173904419,,0,0,0,0,0
1.2963149547576904,,0,0,0,0,0
1.305718183517456,,0,0,0,0,0
1.315861463546753,,0,0,0,0,0
1.326617956161499,,0,0,0,0,0
1.3359496593475342,,0,0,0,0,0
1.3476548194885254,,0,0,0,0,0
1.3572907447814941,,0,0,0,0,0
1.366701602935791,,0,0,0,0,0
1.3758070468902588,,0,0,0,0,0
1.3871550559997559,,0,0,0,0,0
1.397109031677246,,0,0,0,0,0
1.4070680141448975,,0,0,0,0,0
1.4159736633300781,,0,0,0,0,0
1.4267914295196533,,0,0,0,0,0
1.4364027976989746,,0,0,0,0,0
1.4466681480407715,,0,0,0,0,0
1.4565353393554688,,0,0,0,0,0
1.4663455486297607,,0,0,0,0,0
1.476121187210083,,0,0,0,0,0
1.4864654541015625,,0,0,0,0,0
1.4965078830718994,,0,0,0,0,0
1.5063564777374268,,0,0,0,0,0
1.5168473720550537,,0,0,0,0,0
1.5280191898345947,,0,0,0,0,0
1.5368080139160156,,0,0,0,0,0
1.5462472438812256,,0,0,0,0,0
1.5561351776123047,,0,0,0,0,0
1.5659525394439697,,0,0,0,0,0
1.5760698318481445,,0,0,0,0,0
1.5865325927734375,,0,0,0,0,0
1.5965466499328613,,0,0,0,0,0
1.606435775756836,,0,0,0,0,0
1.6164705753326416,,0,0,0,0,0
1.6273040771484375,,0,0,0,0,0
1.637425422668457,,0,0,0,0,0
1.6462571620941162,,0,0,0,0,0
