recording_time_s,mission_time_s,horizontal_saturated,altitude_saturated,attitude_saturated,mixer_saturated,any_saturated
2.9278173446655273,0.009241580963134766,0,0,0,0,0
2.937349796295166,0.018774032592773438,0,0,0,0,0
2.947035789489746,0.028460025787353516,0,0,0,0,0
2.957432270050049,0.03885650634765625,0,0,0,0,0
2.967487335205078,0.04891157150268555,0,0,0,0,0
2.9785215854644775,0.05994582176208496,0,0,0,0,0
2.987283229827881,0.06870746612548828,0,0,0,0,0
2.997339963912964,0.07876420021057129,0,0,0,0,0
3.0072500705718994,0.08867430686950684,0,0,0,0,0
3.017317056655884,0.09874129295349121,0,0,0,0,0
3.027290105819702,0.10871434211730957,0,0,0,0,0
3.0372097492218018,0.11863398551940918,0,0,0,0,0
3.0473554134368896,0.12877964973449707,0,0,0,0,0
3.0573389530181885,0.1387631893157959,0,0,0,0,0
3.0672924518585205,0.14871668815612793,0,0,0,0,0
3.0776963233947754,0.1591205596923828,0,0,0,0,0
3.0872788429260254,0.1687030792236328,0,0,0,0,0
3.0972707271575928,0.1786949634552002,0,0,0,0,0
3.1073310375213623,0.18875527381896973,0,0,0,0,0
3.1171531677246094,0.1985774040222168,0,0,0,0,0
3.127533197402954,0.20895743370056152,0,0,0,0,0
3.137188673019409,0.2186129093170166,0,0,0,0,0
3.147320508956909,0.2287447452545166,0,0,0,0,0
3.1574437618255615,0.23886799812316895,0,0,0,0,0
3.167515993118286,0.24894022941589355,0,0,0,0,0
3.1793277263641357,0.26075196266174316,0,0,0,0,0
3.18725323677063,0.2686774730682373,0,0,0,0,0
3.197354793548584,0.2787790298461914,0,0,0,0,0
3.2073729038238525,0.28879714012145996,0,0,0,0,0
3.217684745788574,0.29910898208618164,0,0,0,0,0
3.227602958679199,0.30902719497680664,0,0,0,0,0
3.2374014854431152,0.31882572174072266,0,0,0,0,0
3.247161388397217,0.3285856246948242,0,0,0,0,0
3.25742506980896,0.3388493061065674,0,0,0,0,0
3.2673587799072266,0.348783016204834,0,0,0,0,0
3.279139757156372,0.3605639934539795,0,0,0,0,0
3.2874650955200195,0.36888933181762695,0,0,0,0,0
3.2973532676696777,0.37877750396728516,0,0,0,0,0
3.3073360919952393,0.3887603282928467,0,0,0,0,0
3.31728458404541,0.3987088203430176,0,0,0,0,0
3.3272767066955566,0.40870094299316406,0,0,0,0,0
3.337294101715088,0.4187183380126953,0,0,0,0,0
3.347285270690918,0.4287095069885254,0,0,0,0,0
3.357407331466675,0.4388315677642822,0,0,0,0,0
3.367595911026001,0.4490201473236084,0,0,0,0,0
3.378607749938965,0.46003198623657227,0,0,0,0,0
3.3872668743133545,0.4686911106109619,0,0,0,0,0
3.3973124027252197,0.47873663902282715,0,0,0,0,0
3.407287359237671,0.4887115955352783,0,0,0,0,0
3.4172780513763428,0.4987022876739502,0,0,0,0,0
3.427408456802368,0.5088326930999756,0,0,0,0,0
3.437756061553955,0.5191802978515625,0,0,0,0,0
3.4474430084228516,0.528867244720459,0,0,0,0,0
