time,actual_x,actual_y,actual_z,reference_x,reference_y,reference_z,tracking_error,actual_speed,reference_speed,clearance,segment_index
0.003212762007024139,0.0,0.0,1.4690911133072724,1.2016866598564226e-07,2.350050118555138e-07,1.5000000906600115,0.030908977353866104,0.040378558488864014,4.2156342677560265e-05,1.9500000000000002,0
0.008399104001000524,0.0,0.0,1.469291702227573,1.2016866598564226e-07,2.350050118555138e-07,1.5000000906600115,0.03070838843357274,0.040117784060125075,4.2156342677560265e-05,1.9500000000000002,0
0.013294369011418894,2.186706264507443e-11,4.2741959467735784e-11,1.4694909983705116,1.2016866598564226e-07,2.350050118555138e-07,1.5000000906600115,0.03050909229064128,0.03985922858767161,4.2156342677560265e-05,1.9499999999781332,0
0.018113388010533527,1.2912643342690817e-10,2.523940642134602e-10,1.4696890132668163,1.2016866598564226e-07,2.350050118555138e-07,1.5000000906600115,0.03031107739434191,0.039602979261002785,4.2156342677560265e-05,1.9499999998708737,0
0.023256207001395524,4.4468009310393895e-10,8.691838967310874e-10,1.4698857573510555,9.712020297410231e-07,1.8983229466497608e-06,1.5000007323591094,0.030114975083476443,0.039348816848074446,0.0001693446954064026,1.94999999955532,0
0.02850790900993161,1.1668504721351876e-09,2.280757923052529e-09,1.4700812451075023,9.712020297410231e-07,1.8983229466497608e-06,1.5000007323591094,0.029919487327409598,0.0390975512906483,0.0001693446954064026,1.9499999988331498,0
0.033146610017865896,2.605289631956528e-09,5.092281387041756e-09,1.4702754896461188,9.712020297410231e-07,1.8983229466497608e-06,1.5000007323591094,0.02972524278906234,0.03884890772841361,0.0001693446954064026,1.9499999973947106,0
0.038385730993468314,5.213487326432543e-09,1.0189898753479403e-08,1.4704685042429984,9.712020297410231e-07,1.8983229466497608e-06,1.5000007323591094,0.029532228192268146,0.038602919392898234,0.0001693446954064026,1.9499999947865128,0
0.04303793399594724,9.61638580086912e-09,1.8794638107383916e-08,1.4706603009133221,3.2765890334130095e-06,6.401131019604271e-06,1.5000024695969938,0.02934216955966908,0.038359334113466335,0.0003799633713200492,1.9499999903836143,0
0.04800421799882315,1.6635428233878387e-08,3.251130611284448e-08,1.4708508956558843,3.2765890334130095e-06,6.401131019604271e-06,1.5000024695969938,0.029151574819048565,0.03811894863699471,0.0003799633713200492,1.949999983364572,0
0.05401287801214494,2.7330568225040623e-08,5.341036568009485e-08,1.4710403029524342,3.2765890334130095e-06,6.401131019604271e-06,1.5000024695969938,0.028962167522450403,0.03788145960095973,0.0003799633713200492,1.949999972669432,0
