recording_time_s,mission_time_s,horizontal_saturated,altitude_saturated,attitude_saturated,mixer_saturated,any_saturated
3.7428817749023438,0.027898788452148438,0,0,0,0,0
3.7529423236846924,0.03795933723449707,0,0,0,0,0
3.7629847526550293,0.048001766204833984,0,0,0,0,0
3.7731313705444336,0.05814838409423828,0,0,0,0,0
3.7829389572143555,0.06795597076416016,0,0,0,0,0
3.7931768894195557,0.07819390296936035,0,0,0,0,0
3.803095817565918,0.08811283111572266,0,0,0,0,0
3.813296318054199,0.0983133316040039,0,0,0,0,0
3.823212146759033,0.10822916030883789,0,0,0,0,0
3.83318829536438,0.11820530891418457,0,0,0,0,0
3.843081474304199,0.1280984878540039,0,0,0,0,0
3.853602886199951,0.13861989974975586,0,0,0,0,0
3.8631346225738525,0.14815163612365723,0,0,0,0,0
3.8733913898468018,0.15840840339660645,0,0,0,0,0
3.883211374282837,0.1682283878326416,0,0,0,0,0
3.892996311187744,0.17801332473754883,0,0,0,0,0
3.9029839038848877,0.18800091743469238,0,0,0,0,0
3.9130046367645264,0.19802165031433105,0,0,0,0,0
3.9231886863708496,0.2082056999206543,0,0,0,0,0
3.9334428310394287,0.2184598445892334,0,0,0,0,0
3.9432754516601562,0.22829246520996094,0,0,0,0,0
3.9533188343048096,0.23833584785461426,0,0,0,0,0
3.9636242389678955,0.2486412525177002,0,0,0,0,0
3.973510265350342,0.2585272789001465,0,0,0,0,0
3.9831836223602295,0.2682006359100342,0,0,0,0,0
3.993239402770996,0.2782564163208008,0,0,0,0,0
4.0030293464660645,0.28804636001586914,0,0,0,0,0
4.0131120681762695,0.2981290817260742,0,0,0,0,0
4.023052453994751,0.30806946754455566,0,0,0,0,0
4.033174991607666,0.3181920051574707,0,0,0,0,0
4.042942762374878,0.3279597759246826,0,0,0,0,0
4.053352355957031,0.33836936950683594,0,0,0,0,0
4.063140869140625,0.3481578826904297,0,0,0,0,0
4.073343753814697,0.35836076736450195,0,0,0,0,0
4.0831708908081055,0.36818790435791016,0,0,0,0,0
4.093329668045044,0.37834668159484863,0,0,0,0,0
4.10300612449646,0.38802313804626465,0,0,0,0,0
4.11325740814209,0.39827442169189453,0,0,0,0,0
4.123108148574829,0.4081251621246338,0,0,0,0,0
4.133515357971191,0.4185323715209961,0,0,0,0,0
4.14306902885437,0.4280860424041748,0,0,0,0,0
4.152932643890381,0.43794965744018555,0,0,0,0,0
4.163078308105469,0.44809532165527344,0,0,0,0,0
4.1731390953063965,0.45815610885620117,0,0,0,0,0
4.183324098587036,0.4683411121368408,0,0,0,0,0
4.193644762039185,0.47866177558898926,0,0,0,0,0
4.204556703567505,0.48957371711730957,0,0,0,0,0
4.213209390640259,0.4982264041900635,0,0,0,0,0
4.222997665405273,0.5080146789550781,0,0,0,0,0
4.23317813873291,0.5181951522827148,0,0,0,0,0
4.24312686920166,0.5281438827514648,0,0,0,0,0
4.253252267837524,0.5382692813873291,0,0,0,0,0
4.263265371322632,0.5482823848724365,0,0,0,0,0
4.2734832763671875,0.5585002899169922,0,0,0,0,0
4.283325910568237,0.568342924118042,0,0,0,0,0
4.293107032775879,0.5781240463256836,0,0,0,0,0
4.303051948547363,0.588068962097168,0,0,0,0,0
4.313495397567749,0.5985124111175537,0,0,0,0,0
4.323127031326294,0.6081440448760986,0,0,0,0,0
4.3339316844940186,0.6189486980438232,0,0,0,0,0
